Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_UP,182,0.505400352,1.644643022,0.000121324,0.014033591,0.012499136,3601,"tags=30%, list=14%, signal=26%",Sphk1/Gadd45a/Fgl2/Procr/Bach1/Ltbp1/Il6/Il17ra/Phlda3/Socs3/Nfil3/Gadd45g/Mis18bp1/Il4ra/Tbx6/Mt2/Phgdh/Mcoln2/Cebpd/Dkk1/Ptpn1/Dusp16/H2-T23/Noct/Ccr5/Emp1/Mx2/Csf2rb2/H1f2/Csf3r/Saa1/Rgcc/Ch25h/Rnf149/Cxcl9/Hps4/Tssk1/Bmpr1b/Rcan1/Tbp/Mt1/Fbxo21/Slc35e4/Sh3glb1/Memo1/Susd6/Ntmt1/Jak2/Smad3/Rbpj/Ccdc186/Hdac2/Bhlhe40/Myd88/Tmem40
GCM_TPT1,69,0.629919101,1.834255015,0.000124863,0.014277819,0.012716659,8205,"tags=81%, list=31%, signal=56%",Rpl35/Clec18a/Rpl7a/Rpl17/Rplp0/Rpl31/Rpl21/Rpl32/Rps19/Rpl18/Rps2/Rps17/Rplp2/Rpl9/Rps16/Rps8/Rps11/Rps3a1/Rps18/Rps7/Rps3/Uba52/Rpl35a/Rps23/Rpl6/Rpl38/Rpl27/Rpl11/Rack1/Rpl19/Rpl29/Rps14/Rps29/Rpsa/H3f3a/Rpl7/Rps24/Rpl14/Rps10/Rpl10a/Rpl23a/Ncl/Rplp1/Npm1/Eef1g/Cfl1/Naca/Atp5g1/Rpl13a/Rps27a/Rps28/Rps6/Rpl28/Tpt1/Rps25/Rpl4
GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN,180,0.5042012,1.641857938,0.00012494,0.014277819,0.012716659,4509,"tags=36%, list=17%, signal=30%",Atf3/Itpkc/Col7a1/Cish/Slc7a5/Clic4/Ikzf4/Slc14a1/Zhx2/Sesn2/Ptpn1/Top1mt/Ifrd1/Lonrf1/Asns/Chd7/Parvg/Maml1/Atp11b/Erlin1/Cars/Gabrp/Cgas/Cblb/Pgs1/Sprtn/Traf3/Gys1/Rnf149/Ell/Afmid/Per1/Vps54/Stk40/Filip1l/Axin1/Trmt6/Nol8/Peli1/Btg1/Sec63/Ahctf1/Mapkapk2/Champ1/1700094D03Rik/Tdrd12/Jak2/Nfkb1/Pdzd8/Pa2g4/Zeb1/Slc25a51/Lpp/Bhlhe40/Slamf7/Klhl24/Arih2/Hgh1/Map3k14/Pou5f1/P2rx4/Calcrl/Morc2a/F3
MARKEY_RB1_ACUTE_LOF_DN,228,0.47646198,1.573765013,0.000126412,0.014314914,0.012749698,4555,"tags=32%, list=17%, signal=26%",Sprr1a/Adam8/Tgfbi/Sphk1/Gadd45a/Xdh/Procr/Stom/Gzmb/Tmem45a/Igfbp3/Uck2/Socs3/Prrx1/Ctsh/Abca1/Itgax/Apod/Selplg/Mt2/Itgam/Mcoln2/Cpxm1/Ptprc/Plin2/Npy/Plac8/H2-T23/Meox2/Sgpl1/Uba7/Adgre1/Fndc3a/Evi2a/Ifi27l2a/Rab3d/Lst1/H1f2/Ddit3/Ch25h/Plekho1/Lyl1/Cxcl14/Ncf4/Lat2/Mt1/Tmem229b/C2/Mpeg1/Gmfg/Rac2/Igfbp5/Pirb/Tbc1d22a/Nt5e/Pnp2/Nsun4/Bhlhe40/Hcls1/Cd52/Skap2/Apobec1/Sap30/Mbd1/Ctsz/Krt7/Tyrobp/Fpr1/Anxa4/Aldh1a2/Csf2ra/Isg20
GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,146,0.528784279,1.680002608,0.000126774,0.014314914,0.012749698,3667,"tags=32%, list=14%, signal=27%",Cx3cr1/Kif22/Anxa1/Prc1/Fgl2/Fosl2/Gzmb/Spag5/Prdm1/Lgals3/Tcf19/Smpdl3b/Fignl1/Cdk1/Sgo1/Itgam/Sesn2/Hmmr/Insl6/Adrb2/Dusp16/Cdca3/Ncaph/Tacc3/Cdca8/Gtse1/Ctu2/Cnnm2/Tpx2/Mybl1/Ect2/Lat2/Adamts14/Ern1/Itga1/Arhgdig/Atp13a2/Arl6ip4/Septin11/Casp7/Dusp5/E2f2/Bhlhe40/Snx10/Shcbp1/Kntc1
GOBP_T_CELL_PROLIFERATION,167,0.507030969,1.638032608,0.000131444,0.014647154,0.013045611,3489,"tags=31%, list=13%, signal=27%",Anxa1/Tnfrsf14/Il6/Pla2g2d/Bmp4/Lgals3/Casp3/Il27/Tnfsf14/Ager/Spn/Ccr2/Il20rb/Wnt4/Il21/Arg1/Ptprc/H2-T23/Igf2/Rasal3/Tgfbr2/Erbb2/Ripk3/Malt1/Ccl19/Il15/Foxp3/Vcam1/Tnfrsf1b/Il1b/Gnrh1/Slc11a1/Cblb/Pycard/Ripk2/Dlg5/Stat5b/Dock2/Sh3rf1/Scrib/Peli1/Rac2/Spta1/Glmn/Pirb/Shh/Cd274/Cebpb/Ccnd3/Pnp2/Pawr
DESCARTES_FETAL_ADRENAL_SCHWANN_CELLS,102,-0.488481003,-1.715836381,0.000131981,0.014647154,0.013045611,4814,"tags=55%, list=18%, signal=45%",Cdh19/Alox15/Cnmd/Gjc3/Nrxn1/Dtx4/Ccdc160/Gal3st1/Chst9/Trpm3/Plekhb1/Mia/Plp1/Adamts8/Megf10/Ptprz1/Prdm16/Hey2/Dlx1/Grik3/Col28a1/Hspb2/Dhh/Gpm6b/Agrn/Sox10/Wnt16/Atp1a2/Cdh6/Art3/Scn7a/Grin2b/Mmd2/Slc35f1/Syt10/Crabp1/Lypd1/Bcan/Synpr/Trdn/2810459M11Rik/Kcna2/Metrn/Foxd3/Sv2b/S100b/Slitrk2/Rxrg/Hey1/Insc/Shc4/Olfml2a/Oprk1/Lpl/Gpr83/Prima1
REACTOME_SELENOAMINO_ACID_METABOLISM,113,0.548790438,1.689782812,0.000132373,0.014647154,0.013045611,7629,"tags=69%, list=29%, signal=49%",Cth/Nnmt/Txnrd1/Ahcy/Rpl35/Lars/Rps15a/Mars1/Rpl7a/Mat1a/Rpl24/Rps27l/Rpl3l/Fau/Rpl17/Rpl22l1/Rpl13/Rpl36al/Rplp0/Rpl12/Rps26/Rps4x/Rpl31/Rps13/Rpl21/Rpl32/Rps19/Rpl18/Rps2/Rps17/Rplp2/Rpl9/Rps16/Scly/Rps8/Rpl37a/Rps11/Rps3a1/Rps18/Rps7/Rps3/Uba52/Rpl35a/Rpl5/Rps23/Rpl6/Rpl30/Rpl38/Rpl15/Rpl27/Rpl11/Rpl19/Rpl29/Rps15/Rpl8/Rps14/Rps29/Rpsa/Sars/Rpl10/Rps5/Rpl26/Rpl7/Kars/Rps24/Rpl14/Rps10/Rpl10a/Eef1e1/Rpl36/Rpl23a/Rplp1/Rpl13a/Rps27a/Rps28/Rps6/Rpl39l/Rpl22
DESCARTES_FETAL_LUNG_SQUAMOUS_EPITHELIAL_CELLS,156,0.514997213,1.648302403,0.000132805,0.014647154,0.013045611,4399,"tags=38%, list=17%, signal=32%",Xdh/Ier5/Phlda3/Vsig2/Krt80/Sfn/Tmprss11b/Cdkn1a/Lgals3/S100a2/Krt17/Ecm1/Dsc2/Metrnl/Sprr1b/Serinc2/Krt4/Prss22/Mt2/Krt16/Cdkn2b/AI661453/Serpinb2/Pax9/Igf2/Flg/AA467197/Muc20/Gabrp/Rnf222/Adgrf4/Etnk2/Hebp2/Cyp2w1/Il36rn/Mt1/Ptges/Gjb2/Ybx3/Krt13/Ivl/Krt14/Rab11fip1/Ssh3/Gcnt3/Niban2/Thap1/Klhl21/Avpi1/Tmem80/Fabp3/Lypd3/Foxe1/Krt19/Ephx3/Gid8/Trip10/Duoxa1/Plscr2/Pi4k2a
GOBP_RESPONSE_TO_EXTRACELLULAR_STIMULUS,415,0.429068656,1.468364305,0.000134286,0.014679113,0.013074075,3338,"tags=23%, list=13%, signal=20%",Slc6a4/Atf3/Egfr/Cyp26a1/Inhbb/Fosl1/Acvr1c/Star/Vgf/Pmaip1/Mpo/Col1a1/Eif4ebp1/Cyp27b1/Nod2/Cdkn1a/Ucn/Snai2/Dsc2/Cad/Fes/Wnt4/Adcyap1/Cdkn2b/Prkcg/Arg1/Slc2a1/Sesn2/Ogg1/Slc6a19/Jun/Ptprc/Prox1/Npy/Adrb2/Gcgr/Hcrt/Cybb/Rptor/Asns/G6pdx/Pomc/Ppargc1a/Noct/Adm/Tgfbr2/Sik1/Il15/Brip1/Sik2/Dnajc15/Pck2/Tspo/Lrat/Vcam1/Ddit3/Ripor1/Oprm1/Ahcy/Ulk1/Aqp2/Tnfrsf11b/Alb/Lars/Myod1/Adssl1/Mapk8/Sct/Pth/Myocd/Wnt2b/Lta/Dap/Slc25a25/Bmp7/Clec16a/C2/Cyp24a1/Nr1h4/Aqp3/Mybbp1a/Sh3glb1/Bhlha15/Ucp2/Mtmr3/Mars1/Tbl2/Slc27a4/Wipi2/Spp1/Apaf1/Gsn/Trim24/Sgip1/Fnip1
